Виноградный сок;0.3;0;14;54
Вишнёвый компот;0.6;0;24.5;99
Вишнёвый нектар;0.1;0;12;50
Вишнёвый сок;0.7;0;10.2;47
Вишня;0.8;0.5;11.3;52
Вишня замороженная;0.9;0.4;11;46
Вобла вяленая;46.4;5.5;0;235
Вобла копчёная;31.1;6.3;0;181
Вобла свежая;18;2.8;0;97
Вода;0;0;0;0
Вода минеральная;0;0;0;0
Водка;0;0;0.1;235
Галеты Любятово классические;11.1;1.2;76;365
Гвоздика;6;20.1;27;323
Гематоген;6;3;75.7;354
ГематогенКА;4.9;11.5;81;425
Гладкоголов;8;1.9;0;49
Глинтвейн August Weinxof;0;0;7.5;85
Глинтвейн St Lorenz;0;0;8;80
Глухарь;18;20;0.5;254
Говядина;18.9;12.4;0;187
Говядина (вымя);12.3;13.7;0;173
Говядина (вырезка);18.6;16;0;218
Говядина (грудинка копчёная);7.6;66.8;0;632
Говядина (грудинка копчёно-варёная);10;55;0;540
Говядина (грудинка);19.3;15.7;0;217
Говядина (легкие тушеные);20.4;3.7;0;120
Говядина (легкие);16.2;2.5;0;92
Говядина (лопаточная часть);19.4;6.6;0;137
Говядина (мозги);11.7;8.6;0;124
Говядина (пашина);18.9;16.6;0;225
Говядина (печень жареная);22.9;10.2;3.9;199
Говядина (печень);20;3.1;4;125
Говядина (покромка);18.6;16;0;218
Говядина (почки);15.2;2.8;0;86
Говядина (сердце);16;3.5;0;96
Говядина (тазобедренная часть);20.2;6.4;0;138
Говядина (уши);25.2;2.3;0;122
Говядина (филейная вырезка);20.1;3.5;0;113
Говядина (шейная часть);19.4;6.4;0;135
Говядина (язык вареный);23.9;15;0;231
Говядина (язык);12.2;10.9;0;146
Говядина вареная;25.8;16.8;0;254
Говядина вареная нежирная;25.7;8.1;0.2;175
Говядина жареная;32.7;28.1;0;384
Говядина постная;22.2;7.1;0;158
Говядина постная жареная;29;9.1;0;206
Говядина средней жирности;25;20;0;275
Говядина тушеная;16.8;18.3;0;232
Говядина тушеная Лента;15;17;0;213
Говяжий гуляш;14;9.2;2.6;148
Говяжий фарш;17.2;20;0;254
Говяжий фарш жирный;15;25;0;293
Говяжий фарш постный;18;15;0;215
Голец;22.4;5.7;0;135
Голубика;1;0;8.2;35
Горбуша отварная;22.9;7.8;0;168
Горбуша свежая;20.5;6.5;0;142
Горбуша солёная;22.1;9;0;169
Горох варёный;6;0;9;60
Горох лущеный;23;1.6;57.7;323
Горох сушёный;20.5;2;53.3;298
Горошек зелёный;5;0.2;13.8;73
Горошек зелёный замороженный;6.4;0.4;16.3;72
Горошек зелёный консервированный;3.6;0.1;9.8;55
Горчица;5.7;6.4;22;162
Горчица дижонская;9.9;12.7;5.3;143
Горчичный порошок;37.1;11.1;32.6;378
Гранат;0.9;0;13.9;52
Гранатовый сок;0.3;0;14.5;64
Грейпфрут;0.7;0.2;6.5;29
Грейпфрутовый нектар;0.2;0;10.4;44
Грейпфрутовый сок;0.9;0.2;6.5;30
Грецкий орех;15.2;65.2;7;654
Гречневая каша;4.5;2.3;25;132
Гречневая каша вязкая на воде;3.2;0.8;17.1;90
Гречневая каша из крупы ядрица;3;3.4;14.6;101
Гречневая крупа (продел);9.5;2.3;65.9;306
Гречневая крупа (ядрица);12.6;3.3;62.1;313
Гречневые хлопья Myllyn Paras;13;1.7;67.5;340
Гречневые хлопья для каши Myllyn Paras;13;1.7;67.5;340
Грибное ассорти быстрозамороженное;2.2;0.8;0.7;20
Грибное ризотто в томатном соусе;2.4;0.8;16.3;82
Грузди маринованные;1;1.8;0;26
Грузди свежие;1.8;0.5;0.8;16
Груша;0.4;0.3;10.9;42
Грушевый компот;0.2;0;18.2;70
Грушевый нектар;0.1;0.1;8.8;37
Грушевый сок;0.4;0.3;11;46
Груши сушёные;2.3;0.6;62.6;249
Гуава;2.6;1;8.9;68
Гусь вареный;19.3;41.2;0;447
Гусь жареный;22.9;58.8;0;620
Гюнику татаки;12.8;2.6;6.8;102
Гютан терияки;11;22.5;14.1;223
Дайкон;1.2;0;4.1;21
Даниссимо Вишня;4.7;5.4;17.5;138
Даниссимо Груша-ваниль;4.7;5.4;17.1;136
Даниссимо Клубника;4.7;5.4;17.1;136
